24485,* MOFid-v1.NA.NAno_mof;24485,NA.MISSING_LINKERS.MOFkey-v1
24541,N#N.O=C1OOC(=O)C#CC(=O)OOC(=O)C#CC(=O)OOC(=O)C#CC(=O)OOC(=O)C#CC(=O)OOC(=O)C#CC(=O)OOC(=O)C#C1.[Zn][Zn] MOFid-v1.UNKNOWN.cat0;24541,Zn.HBGVNJYODDMZJG.IJGRMHOSHXDMSA.MOFkey-v1.UNKNOWN
24542,COc1ccc2c(c1)nc1c(n2)c(OC)cc(c1)OC.[O-]C(=O)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24542,Zn.SXJAKIGWGVZVHC.YTIVTFGABIZHHX.MOFkey-v1.pcu
24543,CCOc1cc2nc3c(OCC)cccc3nc2cc1OCC.[O-]C(=O)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24543,Zn.LRRPUFHCBXGDEM.YTIVTFGABIZHHX.MOFkey-v1.pcu
24544,N#Cc1ccc(cc1)C#N.[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24544,Zn.BHXFKXOIODIUJO.FDFGHPKPHFUHBP.IUCPZNVTXMASAX.MOFkey-v1.pcu
24545,N#Cc1ccc(cc1)C#N.[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24545,Zn.BHXFKXOIODIUJO.FDFGHPKPHFUHBP.IUCPZNVTXMASAX.MOFkey-v1.pcu
24546,Fc1cc(F)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(F)c(cc1F)F.N#Cc1ccc(c(c1)F)C#N.[O-]C(=O)C#Cc1cc(F)c(c(c1F)F)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24546,Zn.DULBJBXBNLVFBI.LUFNUHAFHFUVDY.WWVLPGNRVQNZIE.MOFkey-v1.pcu
24547,Fc1cc(F)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(F)c(cc1F)F.N#Cc1ccc(c(c1)F)C#N.[O-]C(=O)C#Cc1cc(F)c(c(c1F)F)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24547,Zn.DULBJBXBNLVFBI.LUFNUHAFHFUVDY.WWVLPGNRVQNZIE.MOFkey-v1.pcu
24548,Fc1ccc2c(c1)nc1c(n2)c(F)c(c(c1F)F)F.[O-]C(=O)C#Cc1cc(F)c(c(c1)F)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(c(c1F)F)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24548,Zn.AOSDFEXVDQNJKA.NUWSTYJTILUKOP.OQTMBGKPKNCCHG.MOFkey-v1.pcu
24549,Fc1ccc2c(c1)nc1c(n2)c(F)c(c(c1F)F)F.[O-]C(=O)C#Cc1cc(F)c(c(c1)F)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(c(c1F)F)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24549,Zn.AOSDFEXVDQNJKA.NUWSTYJTILUKOP.OQTMBGKPKNCCHG.MOFkey-v1.pcu
2455,Brc1cc(cc(c1c1cc(Br)c(c(c1Br)Br)C(=O)[O-])Br)c1ccc(c(c1)Br)C(=O)[O-].Brc1cc(ccc1c1ccc(c(c1)Br)c1c(Br)c(Br)c(c(c1Br)Br)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(c(c1Br)Br)C#Cc1c(Br)cc(c(c1Br)Br)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;2455,Zn.GUSNGPZRIPDXMT.NYFWAXMZSKQEFF.YYUXSQMLJKZKDK.MOFkey-v1.pcu
24550,Fc1cc2c(cc1F)c(C(=O)[O-])c1c(c2C(=O)[O-])c(F)ccc1.N#Cc1ccc(c(c1F)F)C#N.[O-]C(=O)C#Cc1ccc(c(c1)F)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24550,Zn.IXSXSSLISIIZNG.JOWFYOOOMOYCRA.UWTVIBHYIOGQEU.MOFkey-v1.pcu
24551,Fc1cc2c(cc1F)c(C(=O)[O-])c1c(c2C(=O)[O-])c(F)ccc1.N#Cc1ccc(c(c1F)F)C#N.[O-]C(=O)C#Cc1ccc(c(c1)F)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24551,Zn.IXSXSSLISIIZNG.JOWFYOOOMOYCRA.UWTVIBHYIOGQEU.MOFkey-v1.pcu
24552,Fc1c(F)c(F)c2c(c1F)c(C(=O)[O-])c1c(c2C(=O)[O-])c(F)c(cc1F)F.N#Cc1ccc(c(c1F)F)C#N.[O-]C(=O)C#Cc1cc(F)c(cc1F)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24552,Zn.JOWFYOOOMOYCRA.SFKQOPIMXDSLDI.ZUKMMCZIRHTSQJ.MOFkey-v1.pcu
24553,Fc1c(F)c(F)c2c(c1F)c(C(=O)[O-])c1c(c2C(=O)[O-])c(F)c(cc1F)F.N#Cc1ccc(c(c1F)F)C#N.[O-]C(=O)C#Cc1cc(F)c(cc1F)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24553,Zn.JOWFYOOOMOYCRA.SFKQOPIMXDSLDI.ZUKMMCZIRHTSQJ.MOFkey-v1.pcu
24554,Fc1cc(F)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(F)ccc1.N#Cc1cc(F)c(cc1F)C#N.[O-]C(=O)C#Cc1cc(F)c(cc1F)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24554,Zn.PUEQXAKFFSWQDW.XYFQWMPHYSQURI.ZUKMMCZIRHTSQJ.MOFkey-v1.pcu
24555,Fc1cc(F)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(F)ccc1.N#Cc1cc(F)c(cc1F)C#N.[O-]C(=O)C#Cc1cc(F)c(cc1F)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24555,Zn.PUEQXAKFFSWQDW.XYFQWMPHYSQURI.ZUKMMCZIRHTSQJ.MOFkey-v1.pcu
24556,N#Cc1ccc(cc1)C#N.[O-]C(=O)C#Cc1ccc(c(c1)Cl)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24556,Zn.BHXFKXOIODIUJO.IUCPZNVTXMASAX.PDEPRDZEJZYBGS.MOFkey-v1.pcu
24557,N#Cc1ccc(cc1)C#N.[O-]C(=O)C#Cc1ccc(c(c1)Cl)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24557,Zn.BHXFKXOIODIUJO.IUCPZNVTXMASAX.PDEPRDZEJZYBGS.MOFkey-v1.pcu
24558,N#Cc1ccc(cc1)C#N.[O-]C(=O)C#Cc1ccc(c(c1)Cl)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat2;24558,Zn.BHXFKXOIODIUJO.IUCPZNVTXMASAX.PDEPRDZEJZYBGS.MOFkey-v1.pcu
24559,N#Cc1ccc(cc1)C#N.[O-]C(=O)C#Cc1ccc(c(c1)Cl)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat3;24559,Zn.BHXFKXOIODIUJO.IUCPZNVTXMASAX.PDEPRDZEJZYBGS.MOFkey-v1.pcu
2456,Brc1cc(cc(c1c1cc(Br)c(c(c1Br)Br)C(=O)[O-])Br)c1ccc(c(c1)Br)C(=O)[O-].Brc1cc(cc(c1c1cc(Br)c(c(c1Br)Br)C(=O)[O-])Br)c1ccc(c(c1)Br)C(=O)[O-].Brc1cc(ccc1c1ccc(c(c1)Br)c1c(Br)c(Br)c(c(c1Br)Br)C(=O)[O-])C(=O)[O-].Brc1cc(ccc1c1ccc(c(c1)Br)c1c(Br)c(Br)c(c(c1Br)Br)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(c(c1Br)Br)C#Cc1c(Br)cc(c(c1Br)Br)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.UNKNOWN,sql.cat0;2456,Zn.VPMLPVDVNBJCGO.YYUXSQMLJKZKDK.MOFkey-v1.UNKNOWN
24560,Clc1cc(Cl)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(Cl)c(cc1)Cl.N#Cc1ccc(c(c1)Cl)C#N.[O-]C(=O)C#Cc1cc(Cl)c(cc1Cl)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24560,Zn.FUXVXOPFTHRBNH.HVXQHIKUUNATCE.VIADEZJODAMFJC.MOFkey-v1.pcu
24561,Clc1cc(Cl)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(Cl)c(cc1)Cl.N#Cc1ccc(c(c1)Cl)C#N.[O-]C(=O)C#CC1=C[C]=C(C=[C]1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24561,Zn.ABZYXQRXADCVAF.FUXVXOPFTHRBNH.VIADEZJODAMFJC.MOFkey-v1.pcu
24562,Clc1ccc2c(c1)nc1c(n2)cccc1.[O-]C(=O)C#Cc1cc(Cl)c(c(c1Cl)Cl)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(c(c1Cl)Cl)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24562,Zn.HNWPXQKUPOHYHR.LYZDGXICDJEHAD.OXULEPRYGLCIAC.MOFkey-v1.pcu
24563,Clc1ccc2c(c1)nc1c(n2)cccc1.[O-]C(=O)C#Cc1cc(Cl)c(c(c1Cl)Cl)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(c(c1Cl)Cl)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24563,Zn.HNWPXQKUPOHYHR.LYZDGXICDJEHAD.OXULEPRYGLCIAC.MOFkey-v1.pcu
24564,Clc1cc2c(cc1Cl)c(C(=O)[O-])c1c(c2C(=O)[O-])c(Cl)ccc1.N#Cc1ccc(cc1)C#N.[O-]C(=O)C#CC1=CC(=C([C]=C1)C#CC(=O)[O-])Cl.[Zn][Zn] MOFid-v1.pcu.cat0;24564,Zn.BHXFKXOIODIUJO.MHIHELLCHFFDML.PSUPEJSMHNQERY.MOFkey-v1.pcu
24565,Clc1cc2c(cc1Cl)c(C(=O)[O-])c1c(c2C(=O)[O-])c(Cl)ccc1.N#Cc1ccc(cc1)C#N.[O-]C(=O)C#CC1=CC(=C([C]=C1)C#CC(=O)[O-])Cl.[Zn][Zn] MOFid-v1.pcu.cat1;24565,Zn.BHXFKXOIODIUJO.MHIHELLCHFFDML.PSUPEJSMHNQERY.MOFkey-v1.pcu
24566,ClC1=Cc2c(C=[C]1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1Cl.N#Cc1cc(Cl)c(c(c1)Cl)C#N.[O-]C(=O)C#CC1=[C]C(=C(C=C1)C#CC(=O)[O-])Cl.[Zn][Zn] MOFid-v1.pcu.cat0;24566,Zn.FZOLDPXNNCUEFK.PBKKAZJHGLMZTC.YGIIDUBPHDFUDS.MOFkey-v1.pcu
24567,ClC1=Cc2c(C=[C]1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1Cl.ClC1=[C]C=c2c(=C1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(Cl)ccc1.N#Cc1cc(Cl)c(c(c1)Cl)C#N.[O-]C(=O)C#CC1=[C][C]=C(C=C1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24567,Zn.FZOLDPXNNCUEFK.YGIIDUBPHDFUDS.YLHKJRWUGYDGTM.MOFkey-v1.pcu
24568,BrOC(=O)c1c2[C]=C(Br)C(=Cc2c(c2c1ccc(c2)Br)C(=O)[O-])Br.N#Cc1cc(Br)c(c(c1)Br)C#N.[O-]C(=O)C#Cc1ccc(c(c1)Br)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24568,Zn.BVTCEKXZALNEMP.DFLKEEXYCFGMKN.IFRSKJASBNORKW.MOFkey-v1.pcu
24569,BrOC(=O)c1c2[C]=C(Br)C(=Cc2c(c2c1ccc(c2)Br)C(=O)[O-])Br.N#Cc1cc(Br)c(c(c1)Br)C#N.[O-]C(=O)C#Cc1ccc(c(c1)Br)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24569,Zn.BVTCEKXZALNEMP.DFLKEEXYCFGMKN.IFRSKJASBNORKW.MOFkey-v1.pcu
2457,Cc1c(C#Cc2c(C)c(C)c(c(c2C)C)C(=O)[O-])ccc(c1C)C(=O)[O-].Cc1c(C#Cc2ccc(cc2)C(=O)[O-])cc(c(c1C)C(=O)[O-])C.[O-]C(=O)c1ccc(cc1C)c1ccc(c(c1)C)c1ccc(c(c1C)C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;2457,Zn.ADYNMFJGRSIDFV.OYTDAWCXYFNXEY.YHTFSYDZMUALDE.MOFkey-v1.pcu
24570,BrC1=C[C]=c2c(=C1)c(C(=O)[O-])c1c(c2C(=O)[O-])C(=C(C=[C]1)Br)Br.N#Cc1ccc(c(c1)Br)C#N.[O]C(C#CC1=C[C]=C(C=[C]1)C#CC(Br)([O])[O])(Br)[O].[Zn][Zn] MOFid-v1.pcu,ERROR.cat0;24570,Zn.BWQCUROJHJQRJU.CSEUCLQQYNSPPP.OKVZTPMPUWMKIN.MOFkey-v1.pcu
24571,BrC1=C[C]=c2c(=C1)c(C(=O)[O-])c1c(c2C(=O)[O-])C(=[C]C=[C]1)Br.BrC1=Cc2c([C]=C1)c(C(=O)[O-])c1=C(Br)[C]=C[C]=c1c2C(=O)[O-].N#Cc1ccc(c(c1)Br)C#N.[O]C(C#CC1=C[C]=C(C=[C]1)C#CC(Br)([O])[O])(Br)[O].[Zn][Zn] MOFid-v1.pcu,ERROR.cat1;24571,Zn.BWQCUROJHJQRJU.CSEUCLQQYNSPPP.TWCQTDAWCRYWHQ.MOFkey-v1.pcu
24572,BrOC(=O)c1c2C=CC(=[C]c2c(c2=CC(=C([C]=c12)Br)Br)C(=O)OBr)Br.N#Cc1ccc(c(c1)Br)C#N.[O-]C(=O)C#Cc1cc(Br)c(c(c1)Br)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24572,Zn.ATCDCFMXDXOERY.BWQCUROJHJQRJU.PWZOFYZUABTLLV.MOFkey-v1.pcu
24573,BrOC(=O)c1c2C=CC(=[C]c2c(c2=CC(=C([C]=c12)Br)Br)C(=O)OBr)Br.BrOC(=O)c1c2[C]=C(Br)C(=Cc2c(c2=[C]C(=CC=c12)Br)C(=O)OBr)Br.N#Cc1ccc(c(c1)Br)C#N.[O-]C(=O)C#Cc1cc(Br)c(c(c1)Br)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;24573,Zn.ATCDCFMXDXOERY.BWQCUROJHJQRJU.PWZOFYZUABTLLV.MOFkey-v1.pcu
24574,BrC1=C(Br)c2c([C]=[C]1)c(C(=O)[O-])c1=CC=C[C]=c1c2C(=O)[O-].N#Cc1cc(Br)c(c(c1Br)Br)C#N.[O]C(C#CC1=CC=C([C]=C1)C#CC(Br)([O])[O])(Br)[O].[Zn][Zn] MOFid-v1.pcu,ERROR.cat0;24574,Zn.CHLQZVVOFBYIEH.PJNNQVCIURKYMT.XVDVSEUXYLHNBK.MOFkey-v1.pcu
24575,BrC1=C(Br)c2c([C]=[C]1)c(C(=O)[O-])c1=CC=C[C]=c1c2C(=O)[O-].N#Cc1cc(Br)c(c(c1Br)Br)C#N.[O-]C(=O)c1c2C=CC=[C]c2c(c2=C(C(=[C][C]=c12)Br)Br)C(=O)[O-].[O]C(C#CC1=CC=C([C]=C1)C#CC(Br)([O])[O])(Br)[O].[Zn][Zn] MOFid-v1.pcu,ERROR.cat1;24575,Zn.CHLQZVVOFBYIEH.PJNNQVCIURKYMT.XVDVSEUXYLHNBK.MOFkey-v1.pcu
24576,BrC1=Cc2c([C]=[C]1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(cc1)Br.N#Cc1cc(Br)c(c(c1)Br)C#N.[O-]C(=O)C#Cc1ccc(cc1)C#CC(Br)([O])[O].[Zn][Zn] MOFid-v1.pcu,sql.cat0;24576,Zn.DFLKEEXYCFGMKN.HYBJXECVAAKBNF.SWFSYUJLFRPEBD.MOFkey-v1.pcu
24577,Brc1ccc2c(c1)c(C(=O)[O-])c1=C[C]=[C][C]=c1c2C(=O)[O-].Brc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])[C]=[C][C]=C1.N#Cc1cc(Br)c(c(c1)Br)C#N.[O-]C(=O)C#Cc1ccc(cc1)C#CC(Br)([O])[O].[Zn][Zn] MOFid-v1.pcu,sql.cat1;24577,Zn.DFLKEEXYCFGMKN.SWFSYUJLFRPEBD.XIOOHCFSWZGMDV.MOFkey-v1.pcu
24578,Cc1cc(C)c2c(c1C)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1C.N#Cc1cc(C)c(c(c1C)C)C#N.[O-]C(=O)C#Cc1cc(C)c(cc1C)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24578,Zn.PNADUQWYZPTHFV.XASMOFYGRVUDLE.ZSTAAQVJZAUKAQ.MOFkey-v1.pcu
24579,Cc1cc(C)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(c(c1)C)C.N#Cc1ccc(c(c1)C)C#N.[O-]C(=O)C#Cc1ccc(c(c1)C)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24579,Zn.KDASJEROIXXOHJ.UDKGUMOBBVROER.UJXAVMZSVIODSH.MOFkey-v1.pcu
2458,Cc1c(C#Cc2c(C)c(C)c(c(c2C)C)C(=O)[O-])ccc(c1C)C(=O)[O-].Cc1c(C#Cc2ccc(cc2)C(=O)[O-])cc(c(c1C)C(=O)[O-])C.[O-]C(=O)c1ccc(cc1C)c1ccc(c(c1)C)c1ccc(c(c1C)C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;2458,Zn.ADYNMFJGRSIDFV.OYTDAWCXYFNXEY.YHTFSYDZMUALDE.MOFkey-v1.pcu
24580,Cc1ccc2c(c1C)c(C(=O)[O-])c1c(c2C(=O)[O-])c(C)ccc1.N#Cc1ccc(c(c1)C)C#N.[O-]C(=O)C#Cc1ccc(c(c1)C)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24580,Zn.KDASJEROIXXOHJ.UJXAVMZSVIODSH.YETKAFQTXUVJRD.MOFkey-v1.pcu
24581,N#Cc1cc(C)c(c(c1C)C)C#N.[O-]C(=O)C#Cc1cc(C)c(c(c1C)C)C#CC(=O)[O-].[O][C]c1c2cc(C)ccc2c(c2c1c(C)c(C)cc2)C(=O)[O-].[O].[Zn][Zn] MOFid-v1.pcu.cat0;24581,Zn.BZQSVDQHQQELQO.PNADUQWYZPTHFV.VQWQPJSYMRNDQQ.MOFkey-v1.pcu
24582,Cc1cc(C)c2c(c1)c(C(=O)[O-])c1c(c2[C])c(C)c(cc1)C.[O].[O].N#Cc1cc(C)c(c(c1C)C)C#N.[O-]C(=O)C#Cc1ccc(c(c1)C)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24582,Zn.KDASJEROIXXOHJ.LWAKYJPGRQCTIW.PNADUQWYZPTHFV.MOFkey-v1.pcu
24583,N#Cc1ccc(c(c1)CC)C#N.[Zn][Zn] MOFid-v1.pcu.cat0;24583,Zn.IYELWAPDJVBJLO.MOFkey-v1.pcu
24584,N#Cc1cc(CC)c(c(c1CC)CC)C#N.[Zn][Zn] MOFid-v1.pcu.cat0;24584,Zn.YTIBKXXYNORWHP.MOFkey-v1.pcu
24585,* MOFid-v1.NA.NA;24585,
24586,* MOFid-v1.NA.NAno_mof;24586,NA.MISSING_LINKERS.MOFkey-v1
24587,CCC1=CC(=C[C]=C1C#CC(=O)[O-])C#CC(=O)[O-].CCc1cc(CC)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(CC)c(cc1CC)CC.N#Cc1cc(CC)c(c(c1)CC)C#N.[Zn][Zn] MOFid-v1.pcu.cat0;24587,Zn.QTCNVWDVEBWZOP.ZXUKIORWFAQCDI.MOFkey-v1.pcu
24588,CCCc1cc(C#N)c(c(c1C#N)CCC)C[CH2].CCCc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(c(c1)CCC)CCC.[Zn][Zn] MOFid-v1.pcu.cat0;24588,Zn.FVOKYYKZCARNIK.XXESVBVFSFJGPJ.MOFkey-v1.pcu
24589,CCCc1c(C#CC(=O)[O-])cc(c(c1CCC)C#CC(=O)[O-])CCC.CCCc1cc(C#CC(=O)[O-])cc(c1C#CC(=O)[O-])CCC.CCCc1cc(C#N)ccc1C#N.[Zn][Zn] MOFid-v1.pcu.cat0;24589,Zn.GPMJTPAKLSRTAI.SVBPZRYYXUVQDZ.UYBMQDCFHSINJI.MOFkey-v1.pcu
2459,Cc1c(C#Cc2c(C)c(C)c(c(c2C)C)C(=O)[O-])ccc(c1C)C(=O)[O-].Cc1c(C#Cc2ccc(cc2)C(=O)[O-])cc(c(c1C)C(=O)[O-])C.[O-]C(=O)c1ccc(cc1C)c1ccc(c(c1)C)c1ccc(c(c1C)C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;2459,Zn.ADYNMFJGRSIDFV.OYTDAWCXYFNXEY.YHTFSYDZMUALDE.MOFkey-v1.pcu
24590,CCCc1c(C#N)cc(c(c1CCC)C#N)CCC.CCCc1cc2c(C(=O)[O-])c3cc(C[CH2])ccc3c(c2cc1C[CH2])C(=O)[O-].[O-]C(=O)C#CC1=C[C]=C(C=[C]1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24590,Zn.ABZYXQRXADCVAF.QPWSZFOCKJYYQN.XZTXKRXOZVZJNA.MOFkey-v1.pcu
24591,N#Cc1cc(N)c(c(c1)N)C#N.Nc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])c(N)ccc1N.[O][C]c1c2cc(N)ccc2c(c2c1c(N)c(N)cc2)C(=O)[O-].[O].[Zn][Zn] MOFid-v1.pcu.cat0;24591,Zn.CPHCXFNCPKDHNX.FLWNHTZJSBSSTE.MZTBZLMIBGZCIS.MOFkey-v1.pcu
24592,N#Cc1cc(N)c(c(c1N)N)C#N.NC1=C[C]=Cc2c1c(C(=O)[O-])c1c(c2C(=O)[O-])c(N)ccc1N.[O-]C(=O)C#Cc1cc(N)c(c(c1N)N)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24592,Zn.JCZPIDSHZBSUER.PSRVTKYSJPZAMK.RBBJOTWYCVWFAU.MOFkey-v1.pcu
24593,N#Cc1c(N)c(N)c(c(c1N)N)C#N.[O-]C(=O)c1c2c(N)c3[NH2][NH2]c4cc1c(c(c2cc3N)C(=O)[O-])cc4.[O][C]c1c2cc(N)c(c(c2c(c2c1c(N)c(N)c(c2)N)C(=O)[O-])N)N.[O].[Zn][Zn] MOFid-v1.pcu.cat0;24593,Zn.CPJIMKMKDNLINH.GCOJTGFKVXPBDW.NUNFARCYCODFEG.MOFkey-v1.pcu
24594,N#Cc1cc(N)c(cc1N)C#N.Nc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(cc1)N.[O][C]c1c2c(N)c(N)c(cc2c(c2c1c(N)ccc2)C(=O)[O-])N.[O].[Zn][Zn] MOFid-v1.pcu.cat0;24594,Zn.BUPPYZOMMCCZLJ.DJVJDQRJKTVAEU.VPLVYLHEQJTKKX.MOFkey-v1.pcu
24595,N#Cc1cc(N)c(c(c1)N)C#N.[Zn][Zn] MOFid-v1.ERROR,UNKNOWN.cat0;24595,Zn.MZTBZLMIBGZCIS.MOFkey-v1.ERROR
24596,N#Cc1c(c2ccccc2)c(c2ccccc2)c(c(c1c1ccccc1)c1ccccc1)C#N.[O-]C(=O)C#Cc1ccc(c(c1)c1ccccc1)C#CC(=O)[O-].[O-]C(=O)c1c2cc(ccc2c(c2c1cccc2)C(=O)[O-])c1ccccc1.[Zn][Zn] MOFid-v1.pcu.cat0;24596,Zn.NQHBASSNLFNQHP.OGTLFWVQQGAOLK.UHVAEIIHDJACON.MOFkey-v1.pcu
24597,[O-]C(=O)C#Cc1ccc(c(c1c1ccccc1)c1ccccc1)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(cc1[CH]C=C[CH]C1C=C[CH]C(=C1)c1cc2nc3ccccc3nc2cc1C1=C[C]=CC=C1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.sql,UNKNOWN.cat0;24597,Zn.BDFNUTJMCUSLTK.LJVISXRPXVZJCY.MOFkey-v1.sql
24598,N#CC1=C(c2ccccc2)C(=C([C](C1C1[CH]C=C(C=C1)c1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1)c1ccccc1)C#N)c1ccccc1.[O-]C(=O)C#Cc1ccc(c(c1)c1ccccc1)C#CC(=O)[O-].[Zn][Zn] MOFid-v1.sql,UNKNOWN.cat0;24598,Zn.DPDJLKDYMOHZEQ.OGTLFWVQQGAOLK.MOFkey-v1.sql
24599,N#Cc1cc(O)c(c(c1O)O)C#N.Oc1c(O)cc2c(c1O)c(C(=O)[O-])c1c(c2C(=O)[O-])c(O)c(cc1O)O.[O-]C(=O)C#CC1=CC(=C([C]=C1O)C#CC(=O)[O-])O.[Zn][Zn] MOFid-v1.pcu.cat0;24599,Zn.MVKDYECYGZOKNC.QBDWLAUUQLLWNS.VJXVXUYSGVWQHH.MOFkey-v1.pcu
246,[O-]C(=O)C1=C(Cl)C=C([C]=C1)C1=[C]C(=C(C(=[C]1)Cl)C(=O)[O-])Cl.[O-]C(=O)C1=C[C]=C(C=C1Cl)C1=CC(=C(C=[C]1)C(=O)[O-])Cl.[O-]C(=O)c1ccc(cc1Cl)c1cc(Cl)c(c(c1)Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;246,Zn.BVJMSJKHRZHONZ.MBRFFTCCJPCYPN.TVWBZAKLLBYAQE.MOFkey-v1.pcu
2460,Cc1cc(ccc1C#Cc1ccc(cc1C)C(=O)[O-])C(=O)[O-].Cc1cc(ccc1c1c(C)cc(c(c1C)C)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O-]C(=O)C1=C[C]=C(C=C1)C1=C(C)C=C([C]=C1C)c1ccc(cc1C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;2460,Zn.LLXODMSAZUUGKJ.LOTMWSDKJQNRQO.VLWQGEBWTFWSHY.MOFkey-v1.pcu
